Set: 1
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 3
1 1 X 
1 2 X 
1 3 X 
1 4 X 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 X 
2 2 X 
2 3 X 
2 4 X 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 X 
3 2 X 
3 3 X 
3 4 X 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 X 
4 2 X 
4 3 X 
4 4 X 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 X 
5 2 X 
5 3 X 
5 4 X 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 X 
6 2 X 
6 3 X 
6 4 X 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 4
1 1 X 
1 2 X 
1 3 X 
1 4 X 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 X 
2 2 X 
2 3 X 
2 4 X 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 X 
3 2 X 
3 3 X 
3 4 X 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 X 
4 2 X 
4 3 X 
4 4 X 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 X 
5 2 X 
5 3 X 
5 4 X 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 X 
6 2 X 
6 3 X 
6 4 X 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 5
1 1 X 
1 2 X 
1 3 X 
1 4 X 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 X 
2 2 X 
2 3 X 
2 4 X 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 X 
3 2 X 
3 3 X 
3 4 X 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 X 
4 2 X 
4 3 X 
4 4 X 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 X 
5 2 X 
5 3 X 
5 4 X 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 X 
6 2 X 
6 3 X 
6 4 X 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 6
1 1 X 
1 2 X 
1 3 X 
1 4 X 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 X 
2 2 X 
2 3 X 
2 4 X 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 X 
3 2 X 
3 3 X 
3 4 X 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 X 
4 2 X 
4 3 X 
4 4 X 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 X 
5 2 X 
5 3 X 
5 4 X 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 X 
6 2 X 
6 3 X 
6 4 X 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 7
1 1 X 
1 2 X 
1 3 X 
1 4 X 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 X 
2 2 X 
2 3 X 
2 4 X 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 X 
3 2 X 
3 3 X 
3 4 X 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 X 
4 2 X 
4 3 X 
4 4 X 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 X 
5 2 X 
5 3 X 
5 4 X 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 X 
6 2 X 
6 3 X 
6 4 X 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 8
1 1 X 
1 2 X 
1 3 X 
1 4 X 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 X 
2 2 X 
2 3 X 
2 4 X 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 X 
3 2 X 
3 3 X 
3 4 X 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 X 
4 2 X 
4 3 X 
4 4 X 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 X 
5 2 X 
5 3 X 
5 4 X 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 X 
6 2 X 
6 3 X 
6 4 X 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 9
1 1 X 
1 2 X 
1 3 X 
1 4 X 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 X 
2 2 X 
2 3 X 
2 4 X 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 X 
3 2 X 
3 3 X 
3 4 X 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 X 
4 2 X 
4 3 X 
4 4 X 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 X 
5 2 X 
5 3 X 
5 4 X 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 X 
6 2 X 
6 3 X 
6 4 X 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 10
1 1 X 
1 2 X 
1 3 X 
1 4 X 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 X 
2 2 X 
2 3 X 
2 4 X 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 X 
3 2 X 
3 3 X 
3 4 X 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 X 
4 2 X 
4 3 X 
4 4 X 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 X 
5 2 X 
5 3 X 
5 4 X 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 X 
6 2 X 
6 3 X 
6 4 X 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 11
1 1 Back&LeftOverlap 
1 2 X 
1 3 X 
1 4 Front 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 Back 
2 2 X 
2 3 X 
2 4 Front&LeftOverlap 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 Right 
3 2 X 
3 3 X 
3 4 FrontOverlap 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 Right 
4 2 X 
4 3 X 
4 4 LeftOverlap 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 Right 
5 2 X 
5 3 X 
5 4 Back&LeftOverlap 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 Back&RightOverlap 
6 2 X 
6 3 X 
6 4 Front&LeftOverlap 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 12
1 1 BackOverlap 
1 2 Front 
1 3 X 
1 4 Left 
1 5 X 
1 6 Front&Left 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 Back 
2 2 LeftOverlap 
2 3 X 
2 4 BackOverlap 
2 5 X 
2 6 LeftOverlap 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 Back&Right 
3 2 Front&LeftOverlap 
3 3 X 
3 4 Back&LeftOverlap 
3 5 X 
3 6 AllRegionOverlap 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 Back&Right 
4 2 Left 
4 3 X 
4 4 BackOverlap 
4 5 X 
4 6 Back&Left 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 Right 
5 2 Left 
5 3 X 
5 4 Back&RightOverlap 
5 5 X 
5 6 Back&Left 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 Back&RightOverlap 
6 2 LeftOverlap 
6 3 X 
6 4 Back&LeftOverlap 
6 5 X 
6 6 Back&LeftOverlap 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 13
1 1 BackOverlap 
1 2 Back&LeftOverlap 
1 3 X 
1 4 Left 
1 5 X 
1 6 FrontOverlap 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 Back 
2 2 BackOverlap 
2 3 X 
2 4 Back&LeftOverlap 
2 5 X 
2 6 Front&LeftOverlap 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 Right 
3 2 ExtendedInBackOverlap 
3 3 X 
3 4 LeftOverlap 
3 5 X 
3 6 AllRegionOverlap 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 Right 
4 2 Back&Right 
4 3 X 
4 4 BackOverlap 
4 5 X 
4 6 Left 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 Right 
5 2 Back&Right 
5 3 X 
5 4 ExtendedInBackOverlap 
5 5 X 
5 6 Left 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 Back&Right 
6 2 BackOverlap 
6 3 X 
6 4 Back&LeftOverlap 
6 5 X 
6 6 Front&LeftOverlap 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 14
1 1 ExtendedOnRightOverlap 
1 2 LeftOverlap 
1 3 X 
1 4 Back 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 Front&Right 
2 2 Back&LeftOverlap 
2 3 X 
2 4 Back 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 Front 
3 2 AllRegionOverlap 
3 3 X 
3 4 Back&LeftOverlap 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 Front 
4 2 Back 
4 3 X 
4 4 Back&RightOverlap 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 Front 
5 2 Back 
5 3 X 
5 4 Back&RightOverlap 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 Front 
6 2 Back&LeftOverlap 
6 3 X 
6 4 BackOverlap 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 15
1 1 Back&LeftOverlap 
1 2 BackOverlap 
1 3 X 
1 4 Front 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 Back 
2 2 Back&RightOverlap 
2 3 X 
2 4 Front&LeftOverlap 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 Right 
3 2 Back&RightOverlap 
3 3 X 
3 4 FrontOverlap 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 Back&Right 
4 2 Right 
4 3 X 
4 4 LeftOverlap 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 Right 
5 2 Right 
5 3 X 
5 4 ExtendedOnLeftOverlap 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 Back&Right 
6 2 Back&RightOverlap 
6 3 X 
6 4 FrontOverlap 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 16
1 1 ExtendedOnRightOverlap 
1 2 X 
1 3 X 
1 4 Left 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 Front&Right 
2 2 X 
2 3 X 
2 4 LeftOverlap 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 Front 
3 2 X 
3 3 X 
3 4 LeftOverlap 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 Front 
4 2 X 
4 3 X 
4 4 Back&LeftOverlap 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 Front 
5 2 X 
5 3 X 
5 4 Back&LeftOverlap 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 Front 
6 2 X 
6 3 X 
6 4 LeftOverlap 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 Front 
7 2 X 
7 3 X 
7 4 Back 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

Set: 17
1 1 ExtendedOnLeftOverlap 
1 2 X 
1 3 X 
1 4 Left 
1 5 X 
1 6 X 
1 7 X 
1 8 X 
1 9 X 
1 10 X 
2 1 Left 
2 2 X 
2 3 X 
2 4 Back&Left 
2 5 X 
2 6 X 
2 7 X 
2 8 X 
2 9 X 
2 10 X 
3 1 Back 
3 2 X 
3 3 X 
3 4 LeftOverlap 
3 5 X 
3 6 X 
3 7 X 
3 8 X 
3 9 X 
3 10 X 
4 1 Back 
4 2 X 
4 3 X 
4 4 Back&LeftOverlap 
4 5 X 
4 6 X 
4 7 X 
4 8 X 
4 9 X 
4 10 X 
5 1 Back 
5 2 X 
5 3 X 
5 4 ExtendedInBackOverlap 
5 5 X 
5 6 X 
5 7 X 
5 8 X 
5 9 X 
5 10 X 
6 1 Back&Left 
6 2 X 
6 3 X 
6 4 LeftOverlap 
6 5 X 
6 6 X 
6 7 X 
6 8 X 
6 9 X 
6 10 X 
7 1 X 
7 2 X 
7 3 X 
7 4 X 
7 5 X 
7 6 X 
7 7 X 
7 8 X 
7 9 X 
7 10 X 
8 1 X 
8 2 X 
8 3 X 
8 4 X 
8 5 X 
8 6 X 
8 7 X 
8 8 X 
8 9 X 
8 10 X 
9 1 X 
9 2 X 
9 3 X 
9 4 X 
9 5 X 
9 6 X 
9 7 X 
9 8 X 
9 9 X 
9 10 X 
10 1 X 
10 2 X 
10 3 X 
10 4 X 
10 5 X 
10 6 X 
10 7 X 
10 8 X 
10 9 X 
10 10 X 

